entry_time,exit_time
2025-03-07 09:28:00,2025-03-07 09:57:00
2025-03-11 13:20:00,2025-03-11 15:17:00
2025-03-26 08:22:00,2025-03-26 09:51:00
2025-03-11 13:52:00,2025-03-11 15:46:00
2025-03-08 13:02:00,2025-03-08 15:46:00
2025-03-21 07:23:00,2025-03-21 10:15:00
2025-03-06 07:59:00,2025-03-06 08:34:00
2025-03-01 17:57:00,2025-03-01 18:33:00
2025-03-29 17:24:00,2025-03-29 18:27:00
2025-03-27 16:41:00,2025-03-27 17:10:00
2025-03-15 19:50:00,2025-03-15 21:52:00
2025-03-23 09:56:00,2025-03-23 12:21:00
2025-03-05 08:06:00,2025-03-05 08:41:00
2025-03-09 12:17:00,2025-03-09 14:43:00
2025-03-25 17:13:00,2025-03-25 17:36:00
2025-03-26 10:01:00,2025-03-26 11:39:00
2025-03-28 20:59:00,2025-03-28 21:21:00
2025-03-15 08:13:00,2025-03-15 09:48:00
2025-03-04 07:39:00,2025-03-04 10:05:00
2025-03-02 19:05:00,2025-03-02 20:13:00
2025-03-10 09:53:00,2025-03-10 12:33:00
2025-03-26 17:33:00,2025-03-26 18:01:00
2025-03-16 20:07:00,2025-03-16 21:01:00
2025-03-21 21:44:00,2025-03-21 23:20:00
2025-03-15 10:23:00,2025-03-15 13:11:00
2025-03-25 17:59:00,2025-03-25 20:17:00
2025-03-13 14:28:00,2025-03-13 14:57:00
2025-03-13 06:24:00,2025-03-13 07:49:00
2025-03-09 13:00:00,2025-03-09 15:30:00
2025-03-24 20:10:00,2025-03-24 21:45:00
2025-03-08 08:34:00,2025-03-08 09:21:00
2025-03-27 10:41:00,2025-03-27 11:36:00
2025-03-28 12:08:00,2025-03-28 13:34:00
2025-03-12 07:32:00,2025-03-12 08:34:00
2025-03-23 12:23:00,2025-03-23 13:14:00
2025-03-03 17:39:00,2025-03-03 18:28:00
2025-03-01 08:36:00,2025-03-01 11:01:00
2025-03-01 10:25:00,2025-03-01 13:01:00
2025-03-07 16:08:00,2025-03-07 16:37:00
2025-03-26 15:59:00,2025-03-26 17:16:00
2025-03-07 06:51:00,2025-03-07 08:41:00
2025-03-04 19:36:00,2025-03-04 22:21:00
2025-03-07 18:14:00,2025-03-07 18:57:00
2025-03-04 18:31:00,2025-03-04 19:56:00
2025-03-27 08:21:00,2025-03-27 09:03:00
2025-03-02 15:44:00,2025-03-02 17:00:00
2025-03-25 10:05:00,2025-03-25 10:47:00
2025-03-28 17:43:00,2025-03-28 19:21:00
2025-03-11 21:57:00,2025-03-11 23:43:00
2025-03-25 12:32:00,2025-03-25 14:55:00
2025-03-25 16:56:00,2025-03-25 19:06:00
2025-03-13 14:02:00,2025-03-13 15:59:00
2025-03-06 13:26:00,2025-03-06 15:57:00
2025-03-05 06:50:00,2025-03-05 09:36:00
2025-03-15 16:53:00,2025-03-15 19:47:00
2025-03-24 14:51:00,2025-03-24 16:58:00
2025-03-17 15:51:00,2025-03-17 16:17:00
2025-03-07 07:02:00,2025-03-07 09:09:00
2025-03-05 06:55:00,2025-03-05 08:30:00
2025-03-27 06:01:00,2025-03-27 08:25:00
2025-03-28 11:22:00,2025-03-28 13:45:00
2025-03-19 19:01:00,2025-03-19 20:08:00
2025-03-12 15:31:00,2025-03-12 18:25:00
2025-03-23 09:54:00,2025-03-23 12:11:00
2025-03-17 20:37:00,2025-03-17 21:15:00
2025-03-05 09:33:00,2025-03-05 12:06:00
2025-03-16 21:32:00,2025-03-16 23:50:00
2025-03-27 11:15:00,2025-03-27 13:02:00
2025-03-03 09:59:00,2025-03-03 12:57:00
2025-03-19 15:02:00,2025-03-19 17:43:00
2025-03-20 21:06:00,2025-03-20 22:12:00
2025-03-09 06:39:00,2025-03-09 09:01:00
2025-03-07 07:39:00,2025-03-07 10:02:00
2025-03-11 17:56:00,2025-03-11 20:41:00
2025-03-10 08:06:00,2025-03-10 10:44:00
2025-03-26 21:56:00,2025-03-26 23:10:00
2025-03-17 07:00:00,2025-03-17 08:02:00
2025-03-12 10:36:00,2025-03-12 13:30:00
2025-03-27 12:08:00,2025-03-27 14:01:00
2025-03-19 21:15:00,2025-03-19 23:40:00
2025-03-20 13:53:00,2025-03-20 16:07:00
2025-03-01 13:51:00,2025-03-01 15:20:00
2025-03-17 13:35:00,2025-03-17 15:33:00
2025-03-20 19:34:00,2025-03-20 21:40:00
2025-03-25 08:24:00,2025-03-25 10:11:00
2025-03-18 21:45:00,2025-03-18 23:21:00
2025-03-02 11:34:00,2025-03-02 14:29:00
2025-03-04 06:13:00,2025-03-04 06:48:00
2025-03-16 09:55:00,2025-03-16 12:17:00
2025-03-08 12:02:00,2025-03-08 14:41:00
2025-03-01 21:11:00,2025-03-01 23:20:00
2025-03-22 12:21:00,2025-03-22 15:13:00
2025-03-06 11:44:00,2025-03-06 12:49:00
2025-03-22 13:26:00,2025-03-22 14:07:00
2025-03-02 10:29:00,2025-03-02 12:20:00
2025-03-28 20:32:00,2025-03-28 21:47:00
2025-03-16 08:03:00,2025-03-16 08:52:00
2025-03-17 21:16:00,2025-03-18 00:08:00
2025-03-29 19:52:00,2025-03-29 20:12:00
2025-03-03 17:40:00,2025-03-03 18:31:00
